Abdon
Jonasz 
Jonatan
Jozafat
Józef 
Józefat
Julian 
Juliusz 
Jur
Juri 
Justyn 
Justynian 
Jasuf
Kacper 
Kain
Kajetan
Kajfasz
Kajusz
Kamil 
Kanimir
Karol 
Kasjusz
Kasper 
Kastor
Kazimierz 
Kemal
Kilian
Klaudiusz
Klemens 
Kochan 
Kondrat
Konrad 
Konradyn
Konstancjusz 
Konstanty 
Konstantyn 
Kordian
Kornel
Korneli 
Korneliusz 
Kosma
Kryspyn
Krystian 
Krystyn
Krzesisław
Krzysztof 
Ksawery 
Kwiatosław
Kwietosław
Lambert 
Laurencjusz 
Lech 
Lechosław
Lenart
Leo 
Leon 
Leokadiusz
Leonard
Leopold 
Lesław
Leszek 
Lew
Longin
Lubisław
Lubogost
Lubomił
Lubomir
Luborad
Lubosław
Lucjan 
Ludmił
Ludomił
Ludolf
Ludomir 
Ludowit
Ludwik 
Ładysław
Łazarz
Łucjan
Łukasz 
Maciej 
Magnus
Mahdi
Makary 
Maksymilian 
Malachiasz
Mamert
Manfred
Manuel
Marcel 
Marceli 
Marcin 
Marcjan
Marek 
Marian 
Marin
Mariusz 
Maryn
Mateusz 
Maurycjusz
Maurycy
Maurycjusz
Medard
Melchior
Metody
Michał 
Mieszko
Mieczysław 
Mikołaj 
Milan
Miłobąd
Miłogost
Miłomir
Miłorad
Miłosław
Miłowan
Miłowit
Miłosz
Miłowit
Mirod
Miroład
Miron
Mirosław
Mirosz
Modest
Mojmierz
Mojmir
Mojżesz
Mściwoj
Muhamed
Murat
Mustafa
Myślimir
Napoleon
Narcyz
Nasif
Natan 
Natanael 
Nataniel 
Nestor
Nicefor
Niecisław
Nikodem 
Norbert 
Norman 
Odo
Odon
Oktawian
Oktawiusz 
Olaf 
Oleg 
Olgierd 
Omar
Onufry 
Oskar 
Orian
Otniel
Oswald 
Otokar
Otto
Otton
Owidiusz
Pabian
Pafnucy 
Pakosław
Pankracy 
Paskal
Patrycjusz 
Patryk 
Paweł 
Pelagiusz
Petroniusz
Piotr 
Placyd
Polikarp 
Prokop
Prot
Protazy
Przemysł 
Przemysław 
Przedpełk 
Przybysław
Radogost
Radomił 
Radomir 
Radosław 
Radowit
Radzimir
Rafał 
Rajmund 
Rajner
Remigiusz 
Renat 
Robert 
Roch
Roderyk 
Roger
Roland
Roman 
Romeo
Romuald 
Ronald
Rosłan 
Rudolf 
Rufus
Ryszard 
Salomon 
Samir
Sambor
Samson
Samuel
Sebastian 
Serafin
Sergiusz 
Serwacy
Seweryn 
Sędomir
Sędzisław
Siemowit
Sław
Sławek
Sławomierz
Sławomir 
Sobiesław
Sofroniusz
Stanisław 
Starwit
Stefan 
Stoigniew
Stoisław
Stojan
Strzeżymir
Subisław
Sulibor
Sulisław
Sykstus
Sylwan
Sylwester 
Sylwiusz 
Symeon
Syriusz
Szczepan 
Szymon 
Ścibor
Świętibor
Świętomir
Świętopełk 
Świętosław 
Tadeusz 
Tarik
Telesfor
Telimena
Teobald
Teodor 
Teodozjusz
Teofil 
Tęgomir
Tobiasz
Tomasz 
Tomisław
Tristan
Tulimir
Tulimierz
Tymon 
Tymoteusz 
Tytus 
Urban 
Ursyn
Wacław 
Wahid
Waldemar 
Walenty 
Walentyn 
Walerian 
Walery
Walid
Walter
Wandelin
Wawrzyniec 
Więcesław
Wenancjusz
Wendelin
Wespazjan
Wielisław 
Wiesław 
Wiktor 
Wilhelm 
Wincenty 
Wirgiliusz
Wirginiusz
Wisław
Wit
Witold 
Witołd 
Witosław
Władysław 
Włodzimierz 
Włodzisław 
Wojciech 
Wolimir
Wojsław
Wrocisław
Wszebor
Zachariasz
Zbigniew 
Zdzisław 
Zenobiusz 
Zefir
Zefiryn
Zenon 
Ziemowit
Zwinisław
Zygfryd 
Zygmunt 
Żarek
Żarko
Żelisław 
Żytomir 
